PID,Property Address,Property City,House Type,Sale Price(USD),Sale Date,Latitude,Longitude,Zone,,
90,306  OLD HICKORY  BLVD,MADISON,SINGLE FAMILY,150000,9/23/2021,36.2643446,-86.7163798,6,,
91,300  OLD HICKORY  BLVD,MADISON,SMALL SERVICE SHOP,150000,9/23/2021,36.2643345,-86.7162508,6,,
92,3910  BRICK CHURCH  PIKE,NASHVILLE,SINGLE FAMILY,2400000,9/10/2021,36.263205,-86.778257,5,,
93,308  KEMPER  DR S,MADISON,SINGLE FAMILY,420000,9/3/2021,36.2627569,-86.749848,5,,
94,429  MAPLE  ST,MADISON,SINGLE FAMILY,311500,9/8/2021,36.2620377,-86.7040828,6,,
95,4349  DRY FORK  RD,WHITES CREEK,VACANT RURAL LAND,25000,9/8/2021,36.2618115,-86.8533442,4,,
96,1123  BUBBLING WELL  RD,MADISON,MOBILE HOME,60000,9/13/2021,36.2611172,-86.6829641,6,,
97,124  RHINE  DR,MADISON,SINGLE FAMILY,348000,9/28/2021,36.2609984,-86.7404915,5,,
98,1001  BIRDSALL  ST,OLD HICKORY,SINGLE FAMILY,460000,9/20/2021,36.2606962,-86.644223,7,,
99,1005  ELLISTON  ST,OLD HICKORY,SINGLE FAMILY,231600,9/21/2021,36.2603986,-86.6494781,7,,
100,232  ELM  ST,MADISON,SINGLE FAMILY,167000,9/13/2021,36.2603971,-86.709076,6,,
101,620  FOREST PARK  CT,MADISON,SINGLE FAMILY,285000,9/24/2021,36.2591561,-86.7054982,6,,
102,240  WARRIOR  RD,MADISON,SINGLE FAMILY,239000,9/2/2021,36.2588078,-86.6820987,6,,
103,1204  BERRY  ST,OLD HICKORY,SINGLE FAMILY,300000,9/3/2021,36.2587754,-86.6504622,7,,
104,2512   SOLOMON  LN,NASHVILLE,SINGLE FAMILY,304400,9/13/2021,36.2586327,-86.7703293,5,,
105,2633   COFFENBERRY  LN,NASHVILLE,SINGLE FAMILY,337900,9/8/2021,36.2586201,-86.7694086,5,,
106,2629   COFFENBERRY  LN,NASHVILLE,SINGLE FAMILY,368500,9/9/2021,36.2586201,-86.7694086,5,,
107,2625   COFFENBERRY  LN,NASHVILLE,SINGLE FAMILY,358100,9/3/2021,36.2586201,-86.7694086,5,,
108,2613   COFFENBERRY  LN,NASHVILLE,SINGLE FAMILY,382500,9/10/2021,36.2586201,-86.7694086,5,,
109,2605   COFFENBERRY  LN,NASHVILLE,SINGLE FAMILY,362900,9/15/2021,36.2586201,-86.7694086,5,,
110,323  FOREST PARK  RD,MADISON,RESIDENTIAL CONDO,95000,9/9/2021,36.2586199,-86.7008609,6,,
111,1209  BRYAN  ST,OLD HICKORY,SINGLE FAMILY,221100,9/1/2021,36.2584423,-86.650659,7,,
112,1205  CLARKE  ST,OLD HICKORY,SINGLE FAMILY,312000,9/22/2021,36.2581061,-86.645024,7,,
113,1340  BELLSHIRE TERRACE  DR,NASHVILLE,ZERO LOT LINE,165000,9/8/2021,36.257906,-86.7663842,5,,
114,1805  BELLE ARBOR  DR,NASHVILLE,SINGLE FAMILY,328000,9/17/2021,36.2577079,-86.7760813,5,,
115,1821  BELLE ARBOR  DR,NASHVILLE,SINGLE FAMILY,341500,9/15/2021,36.2576043,-86.7753746,5,,
116,1305  DEBOW  ST,OLD HICKORY,SINGLE FAMILY,287000,9/17/2021,36.2570395,-86.648927,7,,
117,1334   HAVENBROOK  DR,NASHVILLE,RESIDENTIAL CONDO,280000,9/23/2021,36.2566171,-86.7722287,5,,
118,324  HARRINGTON  AVE,MADISON,SINGLE FAMILY,215000,9/24/2021,36.2565581,-86.7081133,6,,
119,1401  ELLISTON  ST,OLD HICKORY,SINGLE FAMILY,345000,9/7/2021,36.2563365,-86.6495175,7,,
120,1400  HADLEY  AVE,OLD HICKORY,SINGLE FAMILY,316000,9/24/2021,36.2562525,-86.648077,7,,
121,212  NEELYS BEND  RD,MADISON,SINGLE FAMILY,285000,9/24/2021,36.255733,-86.7118673,6,,
122,2001  CHADWELL OVERLOOK  DR,MADISON,RESIDENTIAL CONDO,320000,9/9/2021,36.255134,-86.7402819,5,,
123,1701  WESTCHESTER  DR,NASHVILLE,VACANT RESIDENTIAL LAND,28000,9/17/2021,36.254534,-86.7710029,5,,
124,704  GILEAD  CT,MADISON,SINGLE FAMILY,335000,9/8/2021,36.2543485,-86.6739161,6,,
125,405  RANDY  RD,MADISON,SINGLE FAMILY,220000,9/2/2021,36.2538644,-86.6930829,6,,
126,767  MADISON  BLVD,MADISON,SINGLE FAMILY,245000,9/13/2021,36.2529629,-86.7073265,6,,
127,834  GALLAVISTA  AVE,MADISON,DUPLEX,200000,9/1/2021,36.2521762,-86.711828,6,,
128,1024  TREASURE REEF,MADISON,SINGLE FAMILY,300000,9/9/2021,36.2514998,-86.6765127,6,,
129,2700   THORNTON GROVE  BLVD,NASHVILLE,VACANT RESIDENTIAL LAND,313100,9/15/2021,36.2514017,-86.781721,5,,
130,2660   THORNTON GROVE  BLVD,NASHVILLE,VACANT RESIDENTIAL LAND,313100,9/15/2021,36.251391,-86.78129,5,,
131,1744  MERRITT  ST,OLD HICKORY,SINGLE FAMILY,258000,9/14/2021,36.2513792,-86.6584519,7,,
132,828  NEELYS BEND  RD,MADISON,SINGLE FAMILY,450000,9/14/2021,36.251311,-86.692105,6,,
133,2673   THORNTON GROVE  BLVD,NASHVILLE,SINGLE FAMILY,291500,9/14/2021,36.251194,-86.781532,5,,
134,2665   THORNTON GROVE  BLVD,NASHVILLE,VACANT RESIDENTIAL LAND,313100,9/15/2021,36.251036,-86.781227,5,,
135,906  CHEYENNE TRACE  CT,MADISON,SINGLE FAMILY,274300,9/7/2021,36.2509964,-86.6698046,6,,
136,2525   THORNTON GROVE  BLVD,NASHVILLE,SINGLE FAMILY,388600,9/17/2021,36.250907,-86.7783161,5,,
137,2620   THORNTON GROVE  BLVD,NASHVILLE,SINGLE FAMILY,329500,9/15/2021,36.250903,-86.779651,5,,
138,2645   THORNTON GROVE  BLVD,NASHVILLE,VACANT RESIDENTIAL LAND,313100,9/15/2021,36.250803,-86.780419,5,,
139,2633   THORNTON GROVE  BLVD,NASHVILLE,SINGLE FAMILY,345400,9/16/2021,36.2506616,-86.7798346,5,,
140,4861  CLARKSVILLE  PIKE,WHITES CREEK,VACANT RURAL LAND,65000,9/24/2021,36.2499577,-86.8396854,4,,
141,2935   WINTERBERRY  DR,NASHVILLE,RESIDENTIAL CONDO,280000,9/8/2021,36.2493923,-86.7808922,5,,
142,2935   WINTERBERRY  DR,NASHVILLE,RESIDENTIAL CONDO,274400,9/17/2021,36.2493923,-86.7808922,5,,
143,2935   WINTERBERRY  DR,NASHVILLE,RESIDENTIAL CONDO,266400,9/17/2021,36.2493923,-86.7808922,5,,
144,2935   WINTERBERRY  DR,NASHVILLE,RESIDENTIAL CONDO,273200,9/17/2021,36.2493923,-86.7808922,5,,
145,2935   WINTERBERRY  DR,NASHVILLE,RESIDENTIAL CONDO,283700,9/17/2021,36.2493923,-86.7808922,5,,
146,1959  WATERFORD  DR,OLD HICKORY,SINGLE FAMILY,315000,9/7/2021,36.2493227,-86.6561355,7,,
147,2215   ELLIOTT  DR,OLD HICKORY,SINGLE FAMILY,401000,9/16/2021,36.2485382,-86.6402715,7,,
148,1964  WATERFORD  DR,OLD HICKORY,SINGLE FAMILY,335000,9/17/2021,36.2485186,-86.6560512,7,,
149,2269  RIVERWAY  DR,OLD HICKORY,SINGLE FAMILY,337200,9/17/2021,36.2471282,-86.6562873,7,,
150,1219  BARRY  DR,MADISON,SINGLE FAMILY,340000,9/3/2021,36.2469117,-86.7159829,6,,
151,2164  FREEMAN  LN,MADISON,SINGLE FAMILY,387000,9/23/2021,36.2462504,-86.6665781,6,,
152,1312  CHEYENNE  BLVD,MADISON,SINGLE FAMILY,399900,9/3/2021,36.2459872,-86.6700603,6,,
153,516  FREDA VILLA,MADISON,DUPLEX,109000,9/3/2021,36.2450467,-86.7297529,6,,
154,3116  LAUREN EVELYN  WAY,NASHVILLE,SINGLE FAMILY,282000,9/9/2021,36.2446165,-86.7686015,5,,
155,721  PRESERVATION  WAY,NASHVILLE,SINGLE FAMILY,425000,9/20/2021,36.2443381,-86.8184057,4,,
156,3319   OLD HICKORY  BLVD,OLD HICKORY,RESIDENTIAL CONDO,299000,9/1/2021,36.2441878,-86.6358962,7,,
157,3319   OLD HICKORY  BLVD,OLD HICKORY,RESIDENTIAL CONDO,275400,9/7/2021,36.2441878,-86.6358962,7,,
158,3319   OLD HICKORY  BLVD,OLD HICKORY,RESIDENTIAL CONDO,280000,9/17/2021,36.2441878,-86.6358962,7,,
159,3215 B LAKESHORE  DR,OLD HICKORY,SINGLE FAMILY,900000,9/15/2021,36.2437666,-86.6254611,7,,
160,3054  LAKESHORE  DR,OLD HICKORY,SINGLE FAMILY,725000,9/21/2021,36.2434862,-86.6293379,7,,
161,744   PRESERVATION  WAY,NASHVILLE,SINGLE FAMILY,441700,9/17/2021,36.2434459,-86.8186986,4,,
162,1560  JOE PYRON  DR,MADISON,SINGLE FAMILY,256000,9/10/2021,36.2432781,-86.665496,6,,
163,3309  EAGLEWOOD  LN,NASHVILLE,SINGLE FAMILY,190000,9/8/2021,36.2423176,-86.7681303,5,,
164,1301  NEELYS BEND  RD,MADISON,RESIDENTIAL CONDO,162500,9/9/2021,36.2419397,-86.6719984,6,,
165,904  AVERY GREEN  CT,OLD HICKORY,SINGLE FAMILY,357000,9/17/2021,36.2416165,-86.63629,7,,
166,1584  EMERALD BAY  BLVD,WHITES CREEK,SINGLE FAMILY,255000,9/21/2021,36.241306,-86.7983175,4,,
167,3450 B KNIGHT  DR,WHITES CREEK,VACANT RESIDENTIAL LAND,235000,9/10/2021,36.2412863,-86.8059202,4,,
168,3452  KNIGHT  DR,WHITES CREEK,RESIDENTIAL COMBO/MISC,235000,9/10/2021,36.2411148,-86.8038504,4,,
169,3461  TISDALL  DR,WHITES CREEK,ZERO LOT LINE,155000,9/9/2021,36.2408746,-86.8084106,4,,
170,3302  DOVERSIDE  DR,NASHVILLE,SINGLE FAMILY,375000,9/2/2021,36.2400761,-86.7721551,5,,
171,301  LOUVIERS  LN,OLD HICKORY,SINGLE FAMILY,749900,9/23/2021,36.239973,-86.6188545,7,,
172,3229  LAKESHORE  DR,OLD HICKORY,SINGLE FAMILY,210000,9/27/2021,36.2398993,-86.6240629,7,,
173,3269  VAILVIEW  DR,NASHVILLE,SINGLE FAMILY,260000,9/20/2021,36.2397533,-86.768396,5,,
174,1400  ROCK CREEK  CT,WHITES CREEK,SINGLE FAMILY,248800,9/13/2021,36.2392508,-86.7985474,4,,
175,420  WALTON  LN,MADISON,RESIDENTIAL CONDO,148500,9/10/2021,36.2391885,-86.7290616,6,,
176,302  ROLLING MILL  RD,OLD HICKORY,SINGLE FAMILY,580000,9/3/2021,36.2388292,-86.6184508,7,,
177,1004  WILLIAMS  WAY,OLD HICKORY,SINGLE FAMILY,610000,9/27/2021,36.23866,-86.6042103,7,,
178,3225   CYNTHIA  LN,NASHVILLE,DUPLEX,380000,9/2/2021,36.2385469,-86.7758044,5,,
179,301  BRANDYWINE  DR,OLD HICKORY,SINGLE FAMILY,624900,9/14/2021,36.2379453,-86.6216411,7,,
180,689  KINGS WAY  DR,OLD HICKORY,SINGLE FAMILY,385000,9/20/2021,36.2375288,-86.6422546,7,,
181,709  COMANCHE  CT,MADISON,SINGLE FAMILY,390000,9/10/2021,36.2367289,-86.6553034,6,,
182,107  LYNN LEE  DR,OLD HICKORY,SINGLE FAMILY,399900,9/10/2021,36.236358,-86.6376111,7,,
183,2803  CREEKBEND  DR,NASHVILLE,SINGLE FAMILY,295000,9/20/2021,36.2358322,-86.7939025,4,,
184,704  MARSWEN  DR,NASHVILLE,SINGLE FAMILY,365000,9/5/2021,36.2348159,-86.7396713,6,,
185,115  LAURA  AVE,OLD HICKORY,SINGLE FAMILY,375000,9/7/2021,36.2345874,-86.6304729,7,,
186,4052  LONGFELLOW  DR,NASHVILLE,SINGLE FAMILY,296800,9/22/2021,36.2343751,-86.6941342,7,,
187,118  CLIFTON  CT,OLD HICKORY,SINGLE FAMILY,335000,9/8/2021,36.2343274,-86.6332995,7,,
188,436  EWING  LN,NASHVILLE,SINGLE FAMILY,250000,9/14/2021,36.2338939,-86.787132,4,,
189,5034  INGLEWOOD  CT,NASHVILLE,SINGLE FAMILY,366000,9/14/2021,36.2334444,-86.7235024,6,,
190,3124  MOOREWOOD  DR,NASHVILLE,SINGLE FAMILY,259000,9/14/2021,36.2334403,-86.7781032,5,,
191,1527  OCOEE  TRL,MADISON,SINGLE FAMILY,161900,9/19/2021,36.2332753,-86.6544375,6,,
192,1527  OCOEE  TRL,MADISON,SINGLE FAMILY,173500,9/21/2021,36.2332753,-86.6544375,6,,
193,4413  GRA MAR  DR,NASHVILLE,SINGLE FAMILY,587000,9/2/2021,36.2323583,-86.7349832,6,,
194,4813  LINDELL  ST,NASHVILLE,SINGLE FAMILY,419900,9/3/2021,36.2322063,-86.7277862,6,,
195,4585  WOODSIDE  CIR,OLD HICKORY,SINGLE FAMILY,300000,9/13/2021,36.2321309,-86.5911874,7,,
196,4710  TANGLEWOOD  DR,NASHVILLE,SINGLE FAMILY,540900,9/7/2021,36.2303905,-86.7155625,6,,
197,3013  HILLHURST  DR,NASHVILLE,SINGLE FAMILY,305000,9/7/2021,36.2285397,-86.7706434,6,,
198,3008  HILLHURST  DR,NASHVILLE,SINGLE FAMILY,260000,9/22/2021,36.2282094,-86.7693869,6,,
199,3008  HILLHURST  DR,NASHVILLE,SINGLE FAMILY,207000,9/22/2021,36.2282094,-86.7693869,6,,
200,604  MAPLEWOOD  LN,NASHVILLE,SINGLE FAMILY,551000,9/22/2021,36.2278493,-86.7403998,6,,
201,3069  BUENAVIEW  BLVD,NASHVILLE,SINGLE FAMILY,237000,9/9/2021,36.2273747,-86.8302116,4,,
202,2929  STANWYCK  DR,NASHVILLE,SINGLE FAMILY,375000,9/28/2021,36.2260397,-86.7697992,6,,
203,2923  HILLHURST  DR,NASHVILLE,SINGLE FAMILY,122900,9/17/2021,36.2256445,-86.7637715,6,,
204,4117  EDWARDS  AVE,NASHVILLE,SINGLE FAMILY,355000,9/9/2021,36.2255079,-86.7368243,6,,
205,412  N CAMERON  CT,HERMITAGE,SINGLE FAMILY,348000,9/13/2021,36.2253194,-86.6003294,7,,
206,4120   UNION  ST,OLD HICKORY,VACANT RESIDENTIAL LAND,125000,9/20/2021,36.2250709,-86.6265816,7,,
207,4122   UNION  ST,OLD HICKORY,MOBILE HOME,125000,9/20/2021,36.225039,-86.626585,7,,
208,214  LEXINGTON  WAY,HERMITAGE,SINGLE FAMILY,475500,9/13/2021,36.2250216,-86.595798,7,,
209,1133  EASTDALE  AVE,NASHVILLE,SINGLE FAMILY,669000,9/3/2021,36.2247535,-86.7223429,6,,
210,3933   LUNN  DR,NASHVILLE,SINGLE FAMILY,337800,9/24/2021,36.2246015,-86.8491441,4,,
211,3116  REMINGTON PARK  CT,HERMITAGE,SINGLE FAMILY,355000,9/8/2021,36.2244721,-86.59434,7,,
212,902  MCMAHAN  AVE,NASHVILLE,SINGLE FAMILY,380000,9/13/2021,36.2243794,-86.7326984,6,,
213,3930   LUNN  DR,NASHVILLE,RESIDENTIAL CONDO,323200,9/28/2021,36.2243285,-86.8486688,4,,
214,3934   LUNN  DR,NASHVILLE,RESIDENTIAL CONDO,279100,9/21/2021,36.2243165,-86.8486133,4,,
215,930  OLD FOUNTAIN  PL,HERMITAGE,RESIDENTIAL CONDO,210000,9/15/2021,36.22425,-86.595223,7,,
216,715  VIRGINIA  AVE,NASHVILLE,DUPLEX,360000,9/11/2021,36.2238875,-86.7380805,6,,
217,1306   KENWOOD  DR,NASHVILLE,SINGLE FAMILY,524500,9/2/2021,36.2238617,-86.7182961,6,,
218,2628  JORDAN RIDGE  DR,NASHVILLE,SINGLE FAMILY,277000,9/24/2021,36.2236418,-86.8719599,4,,
219,768  GARRISON  DR,NASHVILLE,SINGLE FAMILY,270000,9/10/2021,36.2233187,-86.8161913,4,,
220,903 A  VIRGINIA  AVE,NASHVILLE,SINGLE FAMILY,577000,9/17/2021,36.2231262,-86.7323017,6,,
221,2044  HARVEST  LN,NASHVILLE,SINGLE FAMILY,400000,9/8/2021,36.2225901,-86.8689819,4,,
222,761   COTTAGE PARK  DR,NASHVILLE,RESIDENTIAL CONDO,370000,9/13/2021,36.22227,-86.7662337,6,,
223,4226  WOODS  ST,OLD HICKORY,SINGLE FAMILY,240000,9/23/2021,36.2219527,-86.6235709,7,,
