PID,Property Address,Property City,House Type,Sale Price(USD),Sale Date,Latitude,Longitude,Zone,Restaurants,Supermarkets,Liquor_Stores,Schools,Churches,Convenience_Store,Drug store,Fire_Station,Hospital,Bars
70,4009  OXBOW  DR,NASHVILLE,SINGLE FAMILY,305000,9/16/2021,36.2684163,-86.7627112,5,20,8,7,20,20,20,13,3,11,8
71,253  LOVELL  ST,MADISON,SINGLE FAMILY,205000,9/10/2021,36.2682523,-86.7069137,6,20,7,6,20,20,20,15,2,12,20
72,112  DUPONT  AVE,MADISON,SINGLE FAMILY,275000,9/17/2021,36.2664895,-86.709764,6,20,7,6,20,20,20,14,3,12,20
73,119  LARCHMONT  DR,MADISON,SINGLE FAMILY,282000,9/13/2021,36.2654702,-86.6888641,6,20,7,6,20,20,20,12,1,5,20
74,314  MCKENZIE  PASS,MADISON,RESIDENTIAL CONDO,238000,9/27/2021,36.2651147,-86.6932395,6,20,7,5,20,20,20,12,2,5,20
75,2336   PATRICK  AVE,OLD HICKORY,RESIDENTIAL CONDO,264000,9/14/2021,36.2651036,-86.6619251,7,20,5,9,20,20,20,8,3,5,18
76,2338   PATRICK  AVE,OLD HICKORY,RESIDENTIAL CONDO,239600,9/16/2021,36.2648925,-86.662045,7,20,5,8,20,20,20,8,3,5,18
77,2340   PATRICK  AVE,OLD HICKORY,RESIDENTIAL CONDO,236800,9/17/2021,36.2648657,-86.6620147,7,20,5,8,20,20,20,8,3,5,18
78,2344   PATRICK  AVE,OLD HICKORY,RESIDENTIAL CONDO,239600,9/10/2021,36.2647887,-86.6619383,7,20,5,8,20,20,20,8,3,5,17
79,2346   PATRICK  AVE,OLD HICKORY,RESIDENTIAL CONDO,264300,9/10/2021,36.2647555,-86.6619051,7,20,5,8,20,20,20,8,3,5,17
80,306  OLD HICKORY  BLVD,MADISON,SINGLE FAMILY,150000,9/23/2021,36.2643446,-86.7163798,6,20,7,6,20,20,20,13,3,13,20
81,300  OLD HICKORY  BLVD,MADISON,SMALL SERVICE SHOP,150000,9/23/2021,36.2643345,-86.7162508,6,20,7,6,20,20,20,13,3,13,20
82,308  KEMPER  DR S,MADISON,SINGLE FAMILY,420000,9/3/2021,36.2627569,-86.749848,5,20,8,9,20,20,20,13,4,11,9
83,429  MAPLE  ST,MADISON,SINGLE FAMILY,311500,9/8/2021,36.2620377,-86.7040828,6,20,7,7,20,20,20,14,3,12,20
84,124  RHINE  DR,MADISON,SINGLE FAMILY,348000,9/28/2021,36.2609984,-86.7404915,5,20,9,9,20,20,20,15,4,11,11
85,1001  BIRDSALL  ST,OLD HICKORY,SINGLE FAMILY,460000,9/20/2021,36.2606962,-86.644223,7,20,2,4,20,20,15,3,1,3,10
86,1005  ELLISTON  ST,OLD HICKORY,SINGLE FAMILY,231600,9/21/2021,36.2603986,-86.6494781,7,20,2,3,20,20,16,3,1,3,9
87,232  ELM  ST,MADISON,SINGLE FAMILY,167000,9/13/2021,36.2603971,-86.709076,6,20,7,7,20,20,20,13,3,13,20
88,620  FOREST PARK  CT,MADISON,SINGLE FAMILY,285000,9/24/2021,36.2591561,-86.7054982,6,20,7,7,20,20,20,13,4,12,20
89,240  WARRIOR  RD,MADISON,SINGLE FAMILY,239000,9/2/2021,36.2588078,-86.6820987,6,20,7,7,20,20,20,10,2,5,20
90,1204  BERRY  ST,OLD HICKORY,SINGLE FAMILY,300000,9/3/2021,36.2587754,-86.6504622,7,20,1,4,20,20,15,3,1,3,8
91,2512   SOLOMON  LN,NASHVILLE,SINGLE FAMILY,304400,9/13/2021,36.2586327,-86.7703293,5,20,5,6,20,20,20,9,3,11,5
92,2633   COFFENBERRY  LN,NASHVILLE,SINGLE FAMILY,337900,9/8/2021,36.2586201,-86.7694086,5,20,5,6,20,20,20,9,3,11,6
93,2629   COFFENBERRY  LN,NASHVILLE,SINGLE FAMILY,368500,9/9/2021,36.2586201,-86.7694086,5,20,5,6,20,20,20,9,3,11,6
94,2625   COFFENBERRY  LN,NASHVILLE,SINGLE FAMILY,358100,9/3/2021,36.2586201,-86.7694086,5,20,5,6,20,20,20,9,3,11,6
95,2613   COFFENBERRY  LN,NASHVILLE,SINGLE FAMILY,382500,9/10/2021,36.2586201,-86.7694086,5,20,5,6,20,20,20,9,3,11,6
96,2605   COFFENBERRY  LN,NASHVILLE,SINGLE FAMILY,362900,9/15/2021,36.2586201,-86.7694086,5,20,5,6,20,20,20,9,3,11,6
97,1209  BRYAN  ST,OLD HICKORY,SINGLE FAMILY,221100,9/1/2021,36.2584423,-86.650659,7,20,1,4,20,20,15,3,1,2,8
98,1205  CLARKE  ST,OLD HICKORY,SINGLE FAMILY,312000,9/22/2021,36.2581061,-86.645024,7,20,1,3,20,20,16,3,1,2,7
99,1340  BELLSHIRE TERRACE  DR,NASHVILLE,ZERO LOT LINE,165000,9/8/2021,36.257906,-86.7663842,5,20,8,8,20,20,20,11,3,11,7
100,1805  BELLE ARBOR  DR,NASHVILLE,SINGLE FAMILY,328000,9/17/2021,36.2577079,-86.7760813,5,20,4,6,20,20,20,7,1,11,3
101,1821  BELLE ARBOR  DR,NASHVILLE,SINGLE FAMILY,341500,9/15/2021,36.2576043,-86.7753746,5,20,5,6,20,20,20,8,2,11,3
102,1305  DEBOW  ST,OLD HICKORY,SINGLE FAMILY,287000,9/17/2021,36.2570395,-86.648927,7,20,1,3,20,20,16,3,1,1,6
103,1334   HAVENBROOK  DR,NASHVILLE,RESIDENTIAL CONDO,280000,9/23/2021,36.2566171,-86.7722287,5,20,4,6,20,20,20,9,2,11,5
104,324  HARRINGTON  AVE,MADISON,SINGLE FAMILY,215000,9/24/2021,36.2565581,-86.7081133,6,20,7,7,20,20,20,13,4,13,20
105,1401  ELLISTON  ST,OLD HICKORY,SINGLE FAMILY,345000,9/7/2021,36.2563365,-86.6495175,7,20,1,3,20,20,15,3,1,1,6
106,1400  HADLEY  AVE,OLD HICKORY,SINGLE FAMILY,316000,9/24/2021,36.2562525,-86.648077,7,20,1,3,20,20,16,3,1,1,6
107,212  NEELYS BEND  RD,MADISON,SINGLE FAMILY,285000,9/24/2021,36.255733,-86.7118673,6,20,7,7,20,20,20,15,5,12,20
108,2001  CHADWELL OVERLOOK  DR,MADISON,RESIDENTIAL CONDO,320000,9/9/2021,36.255134,-86.7402819,5,20,8,9,20,20,20,14,4,11,11
109,704  GILEAD  CT,MADISON,SINGLE FAMILY,335000,9/8/2021,36.2543485,-86.6739161,6,20,7,8,20,20,20,9,2,2,20
110,405  RANDY  RD,MADISON,SINGLE FAMILY,220000,9/2/2021,36.2538644,-86.6930829,6,20,7,7,20,20,20,9,3,4,20
111,767  MADISON  BLVD,MADISON,SINGLE FAMILY,245000,9/13/2021,36.2529629,-86.7073265,6,20,7,7,20,20,20,12,3,12,20
112,834  GALLAVISTA  AVE,MADISON,DUPLEX,200000,9/1/2021,36.2521762,-86.711828,6,20,9,9,20,20,20,15,5,12,20
113,1024  TREASURE REEF,MADISON,SINGLE FAMILY,300000,9/9/2021,36.2514998,-86.6765127,6,20,7,8,20,20,20,8,2,2,20
114,2700   THORNTON GROVE  BLVD,NASHVILLE,VACANT RESIDENTIAL LAND,313100,9/15/2021,36.2514017,-86.781721,5,20,3,7,20,20,20,8,2,11,7
115,2660   THORNTON GROVE  BLVD,NASHVILLE,VACANT RESIDENTIAL LAND,313100,9/15/2021,36.251391,-86.78129,5,20,3,7,20,20,20,8,2,11,7
116,1744  MERRITT  ST,OLD HICKORY,SINGLE FAMILY,258000,9/14/2021,36.2513792,-86.6584519,7,20,3,5,20,20,16,4,2,1,11
117,828  NEELYS BEND  RD,MADISON,SINGLE FAMILY,450000,9/14/2021,36.251311,-86.692105,6,20,7,7,20,20,20,9,3,4,20
118,2673   THORNTON GROVE  BLVD,NASHVILLE,SINGLE FAMILY,291500,9/14/2021,36.251194,-86.781532,5,20,4,7,20,20,20,8,2,11,7
119,2665   THORNTON GROVE  BLVD,NASHVILLE,VACANT RESIDENTIAL LAND,313100,9/15/2021,36.251036,-86.781227,5,20,4,7,20,20,20,8,2,11,7
120,906  CHEYENNE TRACE  CT,MADISON,SINGLE FAMILY,274300,9/7/2021,36.2509964,-86.6698046,6,20,7,8,20,20,20,8,2,1,20
121,2525   THORNTON GROVE  BLVD,NASHVILLE,SINGLE FAMILY,388600,9/17/2021,36.250907,-86.7783161,5,20,4,7,20,20,20,8,2,11,7
122,2620   THORNTON GROVE  BLVD,NASHVILLE,SINGLE FAMILY,329500,9/15/2021,36.250903,-86.779651,5,20,4,7,20,20,20,8,2,11,7
123,2645   THORNTON GROVE  BLVD,NASHVILLE,VACANT RESIDENTIAL LAND,313100,9/15/2021,36.250803,-86.780419,5,20,4,7,20,20,20,8,2,11,7
124,2633   THORNTON GROVE  BLVD,NASHVILLE,SINGLE FAMILY,345400,9/16/2021,36.2506616,-86.7798346,5,20,4,7,20,20,20,8,2,11,7
125,2935   WINTERBERRY  DR,NASHVILLE,RESIDENTIAL CONDO,280000,9/8/2021,36.2493923,-86.7808922,5,20,4,7,20,20,20,8,2,11,7
126,1959  WATERFORD  DR,OLD HICKORY,SINGLE FAMILY,315000,9/7/2021,36.2493227,-86.6561355,7,20,1,4,20,20,15,3,2,1,10
127,2215   ELLIOTT  DR,OLD HICKORY,SINGLE FAMILY,401000,9/16/2021,36.2485382,-86.6402715,7,20,0,2,18,20,11,4,1,1,4
128,1964  WATERFORD  DR,OLD HICKORY,SINGLE FAMILY,335000,9/17/2021,36.2485186,-86.6560512,7,20,1,5,20,20,15,3,2,1,10
129,2269  RIVERWAY  DR,OLD HICKORY,SINGLE FAMILY,337200,9/17/2021,36.2471282,-86.6562873,7,20,1,5,20,20,15,3,2,1,15
130,1219  BARRY  DR,MADISON,SINGLE FAMILY,340000,9/3/2021,36.2469117,-86.7159829,6,20,9,12,20,20,20,13,4,12,20
131,2164  FREEMAN  LN,MADISON,SINGLE FAMILY,387000,9/23/2021,36.2462504,-86.6665781,6,20,7,8,20,20,20,8,2,1,20
132,1312  CHEYENNE  BLVD,MADISON,SINGLE FAMILY,399900,9/3/2021,36.2459872,-86.6700603,6,20,7,8,20,20,20,8,2,1,20
133,516  FREDA VILLA,MADISON,DUPLEX,109000,9/3/2021,36.2450467,-86.7297529,6,20,9,13,20,20,20,14,4,13,20
134,3116  LAUREN EVELYN  WAY,NASHVILLE,SINGLE FAMILY,282000,9/9/2021,36.2446165,-86.7686015,5,20,8,7,20,20,20,11,3,12,11
135,721  PRESERVATION  WAY,NASHVILLE,SINGLE FAMILY,425000,9/20/2021,36.2443381,-86.8184057,4,15,3,2,17,20,14,3,3,1,1
136,3319   OLD HICKORY  BLVD,OLD HICKORY,RESIDENTIAL CONDO,299000,9/1/2021,36.2441878,-86.6358962,7,20,1,3,20,20,15,4,1,2,6
137,3215 B LAKESHORE  DR,OLD HICKORY,SINGLE FAMILY,900000,9/15/2021,36.2437666,-86.6254611,7,20,2,5,20,20,18,5,3,2,8
138,3054  LAKESHORE  DR,OLD HICKORY,SINGLE FAMILY,725000,9/21/2021,36.2434862,-86.6293379,7,20,2,4,20,20,18,5,2,3,9
139,744   PRESERVATION  WAY,NASHVILLE,SINGLE FAMILY,441700,9/17/2021,36.2434459,-86.8186986,4,15,3,2,18,20,14,2,3,1,1
140,1560  JOE PYRON  DR,MADISON,SINGLE FAMILY,256000,9/10/2021,36.2432781,-86.665496,6,20,5,8,20,20,20,7,2,1,20
141,3309  EAGLEWOOD  LN,NASHVILLE,SINGLE FAMILY,190000,9/8/2021,36.2423176,-86.7681303,5,20,8,8,20,20,20,11,3,12,13
142,1301  NEELYS BEND  RD,MADISON,RESIDENTIAL CONDO,162500,9/9/2021,36.2419397,-86.6719984,6,20,7,9,20,20,20,8,2,1,20
143,904  AVERY GREEN  CT,OLD HICKORY,SINGLE FAMILY,357000,9/17/2021,36.2416165,-86.63629,7,20,1,4,20,20,17,4,1,3,7
144,1584  EMERALD BAY  BLVD,WHITES CREEK,SINGLE FAMILY,255000,9/21/2021,36.241306,-86.7983175,4,20,6,8,20,20,20,8,3,9,8
145,3450 B KNIGHT  DR,WHITES CREEK,VACANT RESIDENTIAL LAND,235000,9/10/2021,36.2412863,-86.8059202,4,20,5,7,20,20,20,6,3,6,8
146,3452  KNIGHT  DR,WHITES CREEK,RESIDENTIAL COMBO/MISC,235000,9/10/2021,36.2411148,-86.8038504,4,20,6,7,20,20,20,6,3,8,8
147,3461  TISDALL  DR,WHITES CREEK,ZERO LOT LINE,155000,9/9/2021,36.2408746,-86.8084106,4,20,5,7,20,20,20,5,3,2,7
148,3302  DOVERSIDE  DR,NASHVILLE,SINGLE FAMILY,375000,9/2/2021,36.2400761,-86.7721551,5,20,7,8,20,20,20,10,3,12,15
149,301  LOUVIERS  LN,OLD HICKORY,SINGLE FAMILY,749900,9/23/2021,36.239973,-86.6188545,7,20,3,5,20,20,19,5,4,3,7
150,3229  LAKESHORE  DR,OLD HICKORY,SINGLE FAMILY,210000,9/27/2021,36.2398993,-86.6240629,7,20,2,5,20,20,19,5,4,3,8
151,3269  VAILVIEW  DR,NASHVILLE,SINGLE FAMILY,260000,9/20/2021,36.2397533,-86.768396,5,20,8,9,20,20,20,12,3,13,18
152,1400  ROCK CREEK  CT,WHITES CREEK,SINGLE FAMILY,248800,9/13/2021,36.2392508,-86.7985474,4,20,6,7,20,20,20,7,3,9,8
153,420  WALTON  LN,MADISON,RESIDENTIAL CONDO,148500,9/10/2021,36.2391885,-86.7290616,6,20,10,12,20,20,20,16,4,13,20
154,302  ROLLING MILL  RD,OLD HICKORY,SINGLE FAMILY,580000,9/3/2021,36.2388292,-86.6184508,7,20,3,6,20,20,20,7,4,3,8
155,1004  WILLIAMS  WAY,OLD HICKORY,SINGLE FAMILY,610000,9/27/2021,36.23866,-86.6042103,7,20,3,5,20,20,18,5,4,3,6
156,3225   CYNTHIA  LN,NASHVILLE,DUPLEX,380000,9/2/2021,36.2385469,-86.7758044,5,20,6,8,20,20,20,10,3,12,13
157,301  BRANDYWINE  DR,OLD HICKORY,SINGLE FAMILY,624900,9/14/2021,36.2379453,-86.6216411,7,20,3,7,20,20,20,7,4,3,8
158,689  KINGS WAY  DR,OLD HICKORY,SINGLE FAMILY,385000,9/20/2021,36.2375288,-86.6422546,7,20,1,4,20,20,17,4,1,3,7
159,709  COMANCHE  CT,MADISON,SINGLE FAMILY,390000,9/10/2021,36.2367289,-86.6553034,6,20,0,5,20,20,14,2,1,1,20
160,107  LYNN LEE  DR,OLD HICKORY,SINGLE FAMILY,399900,9/10/2021,36.236358,-86.6376111,7,20,2,5,20,20,20,6,1,4,9
161,2803  CREEKBEND  DR,NASHVILLE,SINGLE FAMILY,295000,9/20/2021,36.2358322,-86.7939025,4,20,7,7,20,20,20,8,3,12,10
162,704  MARSWEN  DR,NASHVILLE,SINGLE FAMILY,365000,9/5/2021,36.2348159,-86.7396713,6,20,10,13,20,20,20,17,3,12,20
163,115  LAURA  AVE,OLD HICKORY,SINGLE FAMILY,375000,9/7/2021,36.2345874,-86.6304729,7,20,3,7,20,20,20,7,2,4,9
164,4052  LONGFELLOW  DR,NASHVILLE,SINGLE FAMILY,296800,9/22/2021,36.2343751,-86.6941342,7,20,7,8,20,20,20,8,3,3,20
165,118  CLIFTON  CT,OLD HICKORY,SINGLE FAMILY,335000,9/8/2021,36.2343274,-86.6332995,7,20,3,6,20,20,20,7,2,5,10
166,436  EWING  LN,NASHVILLE,SINGLE FAMILY,250000,9/14/2021,36.2338939,-86.787132,4,20,6,7,20,20,20,9,3,15,10
167,5034  INGLEWOOD  CT,NASHVILLE,SINGLE FAMILY,366000,9/14/2021,36.2334444,-86.7235024,6,20,10,13,20,20,20,16,4,13,20
168,3124  MOOREWOOD  DR,NASHVILLE,SINGLE FAMILY,259000,9/14/2021,36.2334403,-86.7781032,5,20,6,8,20,20,20,11,3,16,18
169,1527  OCOEE  TRL,MADISON,SINGLE FAMILY,161900,9/19/2021,36.2332753,-86.6544375,6,20,0,6,20,20,14,3,1,2,20
170,4413  GRA MAR  DR,NASHVILLE,SINGLE FAMILY,587000,9/2/2021,36.2323583,-86.7349832,6,20,11,13,20,20,20,17,4,13,20
171,4813  LINDELL  ST,NASHVILLE,SINGLE FAMILY,419900,9/3/2021,36.2322063,-86.7277862,6,20,11,14,20,20,20,17,4,14,20
172,4585  WOODSIDE  CIR,OLD HICKORY,SINGLE FAMILY,300000,9/13/2021,36.2321309,-86.5911874,7,20,3,6,20,20,19,6,4,3,7
